"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"P15A";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"4.0000";"90";"TopLayer"
"P16A";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"4.0000";"90";"TopLayer"
"P1B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-4.0000";"90";"TopLayer"
"P2B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-4.0000";"90";"TopLayer"
"P3B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-12.0000";"90";"TopLayer"
"P4B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-12.0000";"90";"TopLayer"
"P5B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-20.0000";"90";"TopLayer"
"P6B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-20.0000";"90";"TopLayer"
"P7B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-28.0000";"90";"TopLayer"
"P8B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-28.0000";"90";"TopLayer"
"P9B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-36.0000";"90";"TopLayer"
"P10B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-36.0000";"90";"TopLayer"
"P11B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-44.0000";"90";"TopLayer"
"P12B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-44.0000";"90";"TopLayer"
"P13B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-52.0000";"90";"TopLayer"
"P14B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-52.0000";"90";"TopLayer"
"P15B";"WS2812";"SMD_LED_WS2812B-0807";"-44.0000";"-60.0000";"90";"TopLayer"
"P16B";"WS2812";"SMD_LED_WS2812B-0807";"-46.5000";"-60.0000";"90";"TopLayer"
"P1C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"60.0000";"90";"TopLayer"
"P2C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"60.0000";"90";"TopLayer"
"P3C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"52.0000";"90";"TopLayer"
"P4C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"52.0000";"90";"TopLayer"
"P5C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"44.0000";"90";"TopLayer"
"P6C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"44.0000";"90";"TopLayer"
"P7C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"36.0000";"90";"TopLayer"
"P8C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"36.0000";"90";"TopLayer"
"P9C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"28.0000";"90";"TopLayer"
"P10C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"28.0000";"90";"TopLayer"
"P11C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"20.0000";"90";"TopLayer"
"P12C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"20.0000";"90";"TopLayer"
"P13C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"12.0000";"90";"TopLayer"
"P14C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"12.0000";"90";"TopLayer"
"P15C";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"4.0000";"90";"TopLayer"
"P16C";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"4.0000";"90";"TopLayer"
"P1D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-4.0000";"90";"TopLayer"
"P2D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-4.0000";"90";"TopLayer"
"P3D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-12.0000";"90";"TopLayer"
"P4D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-12.0000";"90";"TopLayer"
"P5D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-20.0000";"90";"TopLayer"
"P6D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-20.0000";"90";"TopLayer"
"P7D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-28.0000";"90";"TopLayer"
"P8D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-28.0000";"90";"TopLayer"
"P9D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-36.0000";"90";"TopLayer"
"P10D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-36.0000";"90";"TopLayer"
"P11D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-44.0000";"90";"TopLayer"
"P12D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-44.0000";"90";"TopLayer"
"P13D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-52.0000";"90";"TopLayer"
"P14D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-52.0000";"90";"TopLayer"
"P15D";"WS2812";"SMD_LED_WS2812B-0807";"46.5000";"-60.0000";"90";"TopLayer"
"P16D";"WS2812";"SMD_LED_WS2812B-0807";"44.0000";"-60.0000";"90";"TopLayer"
"Q1";"32.768k";"SMD_Crystal_3.2x1.5x0.9";"15.2500";"14.0000";"0";"TopLayer"
"R1";"47k";"SMD_Keramikkondensator_0603";"-28.0000";"-29.7500";"270";"TopLayer"
"R2";"47k";"SMD_Keramikkondensator_0603";"28.0000";"29.7500";"270";"TopLayer"
"R6";"22";"SMD_Widerstand_0603";"20.5000";"36.2500";"90";"TopLayer"
"R7";"22";"SMD_Widerstand_0603";"14.2500";"47.7500";"90";"TopLayer"
"R8";"22";"SMD_Widerstand_0603";"18.0000";"47.7500";"90";"TopLayer"
"R9";"10k";"SMD_Widerstand_0603";"19.2500";"36.2500";"90";"TopLayer"
"R10";"10k";"SMD_Widerstand_0603";"16.7500";"36.2500";"90";"TopLayer"
"R11";"10k";"SMD_Widerstand_0603";"18.0000";"36.2500";"90";"TopLayer"
"R12";"10k";"SMD_Widerstand_0603";"15.5000";"36.2500";"90";"TopLayer"
"R13";"10k";"SMD_Widerstand_Array_4-Fach_0603";"-3.5000";"29.6100";"90";"TopLayer"
"R14";"5.1k";"SMD_Widerstand_0603";"-3.2500";"62.0000";"180";"TopLayer"
"R15";"5.1k";"SMD_Widerstand_0603";"3.2500";"62.0000";"0";"TopLayer"
"R16";"10k";"SMD_Potentiometer_(RK10J11R0A0H)";"-30.0000";"-63.4750";"180";"TopLayer"
"R17";"10k";"SMD_Widerstand_0603";"26.0000";"-61.7500";"180";"TopLayer"
"R18";"10k";"SMD_Widerstand_0603";"26.0000";"61.7500";"0";"TopLayer"
"R19";"270";"SMD_Widerstand_0603";"-7.5000";"69.0000";"180";"TopLayer"
"R20";"10k";"SMD_Widerstand_0603";"18.5000";"-33.0000";"270";"TopLayer"
"R21";"10k";"SMD_Widerstand_0603";"-2.5000";"11.8000";"270";"TopLayer"
"R3A";"10";"SMD_Widerstand_0603";"-34.0000";"34.2500";"90";"TopLayer"
"R4A";"10";"SMD_Widerstand_0603";"-35.2500";"34.2500";"90";"TopLayer"
"R5A";"10k";"SMD_Widerstand_Array_4-Fach_0603";"-41.2500";"32.0000";"90";"TopLayer"
"R3B";"10";"SMD_Widerstand_0603";"-34.0000";"-29.7500";"90";"TopLayer"
"R4B";"10";"SMD_Widerstand_0603";"-35.2500";"-29.7500";"90";"TopLayer"
"R5B";"10k";"SMD_Widerstand_Array_4-Fach_0603";"-41.2500";"-32.0000";"90";"TopLayer"
"R3C";"10";"SMD_Widerstand_0603";"34.0000";"34.2500";"90";"TopLayer"
"R4C";"10";"SMD_Widerstand_0603";"35.2500";"34.2500";"90";"TopLayer"
"R5C";"10k";"SMD_Widerstand_Array_4-Fach_0603";"41.2500";"32.0000";"90";"TopLayer"
"R3D";"10";"SMD_Widerstand_0603";"34.0000";"-29.7500";"90";"TopLayer"
"R4D";"10";"SMD_Widerstand_0603";"35.2500";"-29.7500";"90";"TopLayer"
"R5D";"10k";"SMD_Widerstand_Array_4-Fach_0603";"41.2500";"-32.0000";"90";"TopLayer"
"S1";"SMD-Button";"SMD_Button_6.5x6.0x2.5";"26.0000";"-66.5000";"90";"TopLayer"
"S2";"SMD-Button";"SMD_Button_6.5x6.0x2.5";"26.0000";"66.5000";"270";"TopLayer"
"TP1";"X-TP";"THT_Testpunkt_Ø1mm";"10.5000";"35.5000";"0";"TopLayer"
"TP2";"X-TP";"THT_Testpunkt_Ø1mm";"10.5000";"34.0000";"90";"TopLayer"
"TP3";"X-TP";"THT_Testpunkt_Ø1mm";"10.5000";"32.5000";"0";"TopLayer"
"TP4";"X-TP";"THT_Testpunkt_Ø1mm";"10.5000";"31.0000";"90";"TopLayer"
"TP5";"X-TP";"THT_Testpunkt_Ø1mm";"-10.5000";"66.4250";"90";"TopLayer"
"TP6";"Schwarz";"THT_Messpunkt_Ø2.54mm_Schwarz";"-44.0000";"-67.5000";"90";"TopLayer"
"U2";"MCP1700T-1802";"SMD_IC_SOT-23-3";"24.7500";"53.2500";"90";"TopLayer"
"U3";"WM8904";"SMD_IC_QFN-32_(0.4mm)";"18.0000";"42.0000";"180";"TopLayer"
"U4";"Teensy 4.1";"THT_Teensy_4.1";"0.0000";"37.2300";"180";"TopLayer"
"U5";"PCF8523T";"SMD_IC_SOIC-8";"14.0000";"8.0000";"0";"TopLayer"
"U1A";"ADAU7118";"SMD_IC_QFN-16";"-31.2500";"32.0000";"0";"TopLayer"
"U1B";"ADAU7118";"SMD_IC_QFN-16";"-31.2500";"-32.0000";"0";"TopLayer"
"U1C";"ADAU7118";"SMD_IC_QFN-16";"31.2500";"32.0000";"180";"TopLayer"
"U1D";"ADAU7118";"SMD_IC_QFN-16";"31.2500";"-32.0000";"180";"TopLayer"
"X10";"PJ-328B0-SMT";"SMD_3.5mm_Jack_(PJ-328B0-SMT)";"15.5000";"62.5750";"270";"TopLayer"
"X11";"USB 2.0 Typ-C";"SMD_USB-C_Socket_(A40-00119)";"0.0000";"66.4750";"180";"TopLayer"
"X12";"J1B1211CCD";"THT_RJ45_Socket_(J1B1211CCD)";"-22.5000";"58.8450";"180";"TopLayer"
"X13";"FFC2B35-14-T";"SMD_Display_1.54"_(STP0154F-240240)";"0.0000";"-30.8250";"0";"TopLayer"
"X1A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"60.0000";"270";"TopLayer"
"X2A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"52.0000";"270";"TopLayer"
"X3A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"44.0000";"270";"TopLayer"
"X4A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"36.0000";"270";"TopLayer"
"X5A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"28.0000";"270";"TopLayer"
"X6A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"20.0000";"270";"TopLayer"
"X7A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"12.0000";"270";"TopLayer"
"X8A";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"4.0000";"270";"TopLayer"
"X9A";"NP";"THT_Pin-Header_1x8_(NP)";"-37.5000";"32.0000";"90";"TopLayer"
"X1B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-4.0000";"270";"TopLayer"
"X2B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-12.0000";"270";"TopLayer"
"X3B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-20.0000";"270";"TopLayer"
"X4B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-28.0000";"270";"TopLayer"
"X5B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-36.0000";"270";"TopLayer"
"X6B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-44.0000";"270";"TopLayer"
"X7B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-52.0000";"270";"TopLayer"
"X8B";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"-52.1500";"-60.0000";"270";"TopLayer"
"X9B";"NP";"THT_Pin-Header_1x8_(NP)";"-37.5000";"-32.0000";"90";"TopLayer"
"X1C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"60.0000";"90";"TopLayer"
"X2C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"52.0000";"90";"TopLayer"
"X3C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"44.0000";"90";"TopLayer"
"X4C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"36.0000";"90";"TopLayer"
"X5C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"28.0000";"90";"TopLayer"
"X6C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"20.0000";"90";"TopLayer"
"X7C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"12.0000";"90";"TopLayer"
"X8C";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"4.0000";"90";"TopLayer"
"X9C";"NP";"THT_Pin-Header_1x8_(NP)";"37.5000";"32.0000";"90";"TopLayer"
"X1D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-4.0000";"90";"TopLayer"
"X2D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-12.0000";"90";"TopLayer"
"X3D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-20.0000";"90";"TopLayer"
"X4D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-28.0000";"90";"TopLayer"
"X5D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-36.0000";"90";"TopLayer"
"X6D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-44.0000";"90";"TopLayer"
"X7D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-52.0000";"90";"TopLayer"
"X8D";"1.0-4PWB";"SMD_Connector_(SM04B-SRSS-TB)";"52.1500";"-60.0000";"90";"TopLayer"
"X9D";"NP";"THT_Pin-Header_1x8_(NP)";"37.5000";"-32.0000";"90";"TopLayer"
