"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"C6F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"5.0000";"270";"TopLayer"
"C7F";"10nF";"SMD_Keramikkondensator_0603";"21.0000";"-13.5000";"0";"TopLayer"
"C8F";"100nF";"SMD_Keramikkondensator_0603";"21.0000";"-14.7000";"0";"TopLayer"
"C9F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"-17.0000";"270";"TopLayer"
"C10F";"10nF";"SMD_Keramikkondensator_0603";"21.0000";"-35.5000";"0";"TopLayer"
"C11F";"100nF";"SMD_Keramikkondensator_0603";"21.0000";"-36.7000";"0";"TopLayer"
"C12F";"10µF";"SMD_Keramikkondensator_1206";"16.5000";"-39.0000";"270";"TopLayer"
"C1G";"10nF";"SMD_Keramikkondensator_0603";"35.0000";"30.5000";"0";"TopLayer"
"C2G";"100nF";"SMD_Keramikkondensator_0603";"35.0000";"29.3000";"0";"TopLayer"
"C3G";"10µF";"SMD_Keramikkondensator_1206";"30.5000";"27.0000";"270";"TopLayer"
"C4G";"10nF";"SMD_Keramikkondensator_0603";"35.0000";"8.5000";"0";"TopLayer"
"C5G";"100nF";"SMD_Keramikkondensator_0603";"35.0000";"7.3000";"0";"TopLayer"
"C6G";"10µF";"SMD_Keramikkondensator_1206";"30.5000";"5.0000";"270";"TopLayer"
"C7G";"10nF";"SMD_Keramikkondensator_0603";"35.0000";"-13.5000";"0";"TopLayer"
"C8G";"100nF";"SMD_Keramikkondensator_0603";"35.0000";"-14.7000";"0";"TopLayer"
"C9G";"10µF";"SMD_Keramikkondensator_1206";"30.5000";"-17.0000";"270";"TopLayer"
"C10G";"10nF";"SMD_Keramikkondensator_0603";"35.0000";"-35.5000";"0";"TopLayer"
"C11G";"100nF";"SMD_Keramikkondensator_0603";"35.0000";"-36.7000";"0";"TopLayer"
"C12G";"10µF";"SMD_Keramikkondensator_1206";"30.5000";"-39.0000";"270";"TopLayer"
"C1H";"10nF";"SMD_Keramikkondensator_0603";"49.0000";"30.5000";"0";"TopLayer"
"C2H";"100nF";"SMD_Keramikkondensator_0603";"49.0000";"29.3000";"0";"TopLayer"
"C3H";"10µF";"SMD_Keramikkondensator_1206";"44.5000";"27.0000";"270";"TopLayer"
"C4H";"10nF";"SMD_Keramikkondensator_0603";"49.0000";"8.5000";"0";"TopLayer"
"C5H";"100nF";"SMD_Keramikkondensator_0603";"49.0000";"7.3000";"0";"TopLayer"
"C6H";"10µF";"SMD_Keramikkondensator_1206";"44.5000";"5.0000";"270";"TopLayer"
"C7H";"10nF";"SMD_Keramikkondensator_0603";"49.0000";"-13.5000";"0";"TopLayer"
"C8H";"100nF";"SMD_Keramikkondensator_0603";"49.0000";"-14.7000";"0";"TopLayer"
"C9H";"10µF";"SMD_Keramikkondensator_1206";"44.5000";"-17.0000";"270";"TopLayer"
"C10H";"10nF";"SMD_Keramikkondensator_0603";"49.0000";"-35.5000";"0";"TopLayer"
"C11H";"100nF";"SMD_Keramikkondensator_0603";"49.0000";"-36.7000";"0";"TopLayer"
"C12H";"10µF";"SMD_Keramikkondensator_1206";"44.5000";"-39.0000";"270";"TopLayer"
"M1A";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-49.0000";"40.0000";"0";"TopLayer"
"M2A";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-49.0000";"18.0000";"0";"TopLayer"
"M3A";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-49.0000";"-4.0000";"0";"TopLayer"
"M4A";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-49.0000";"-26.0000";"0";"TopLayer"
"M1B";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-35.0000";"40.0000";"0";"TopLayer"
"M2B";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-35.0000";"18.0000";"0";"TopLayer"
"M3B";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-35.0000";"-4.0000";"0";"TopLayer"
"M4B";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-35.0000";"-26.0000";"0";"TopLayer"
"M1C";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-21.0000";"40.0000";"0";"TopLayer"
"M2C";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-21.0000";"18.0000";"0";"TopLayer"
"M3C";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-21.0000";"-4.0000";"0";"TopLayer"
"M4C";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-21.0000";"-26.0000";"0";"TopLayer"
"M1D";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-7.0000";"40.0000";"0";"TopLayer"
"M2D";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-7.0000";"18.0000";"0";"TopLayer"
"M3D";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-7.0000";"-4.0000";"0";"TopLayer"
"M4D";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"-7.0000";"-26.0000";"0";"TopLayer"
"M1E";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"7.0000";"40.0000";"0";"TopLayer"
"M2E";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"7.0000";"18.0000";"0";"TopLayer"
"M3E";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"7.0000";"-4.0000";"0";"TopLayer"
"M4E";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"7.0000";"-26.0000";"0";"TopLayer"
"M1F";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"21.0000";"40.0000";"0";"TopLayer"
"M2F";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"21.0000";"18.0000";"0";"TopLayer"
"M3F";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"21.0000";"-4.0000";"0";"TopLayer"
"M4F";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"21.0000";"-26.0000";"0";"TopLayer"
"M1G";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"35.0000";"40.0000";"0";"TopLayer"
"M2G";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"35.0000";"18.0000";"0";"TopLayer"
"M3G";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"35.0000";"-4.0000";"0";"TopLayer"
"M4G";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"35.0000";"-26.0000";"0";"TopLayer"
"M1H";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"49.0000";"40.0000";"0";"TopLayer"
"M2H";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"49.0000";"18.0000";"0";"TopLayer"
"M3H";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"49.0000";"-4.0000";"0";"TopLayer"
"M4H";"SMTSO-M3-3ET";"SMD_Solder-Nut_(M3_3mm)";"49.0000";"-26.0000";"0";"TopLayer"
"P1A";"XL-1615SURUWC";"SMD_LED_0606";"-53.5000";"31.0500";"90";"TopLayer"
"P2A";"XL-1615SURUWC";"SMD_LED_0606";"-53.5000";"9.0500";"90";"TopLayer"
"P3A";"XL-1615SURUWC";"SMD_LED_0606";"-53.5000";"-12.9500";"90";"TopLayer"
"P4A";"XL-1615SURUWC";"SMD_LED_0606";"-53.5000";"-34.9500";"90";"TopLayer"
"P1B";"XL-1615SURUWC";"SMD_LED_0606";"-39.5000";"31.0500";"90";"TopLayer"
"P2B";"XL-1615SURUWC";"SMD_LED_0606";"-39.5000";"9.0500";"90";"TopLayer"
"P3B";"XL-1615SURUWC";"SMD_LED_0606";"-39.5000";"-12.9500";"90";"TopLayer"
"P4B";"XL-1615SURUWC";"SMD_LED_0606";"-39.5000";"-34.9500";"90";"TopLayer"
"P1C";"XL-1615SURUWC";"SMD_LED_0606";"-25.5000";"31.0500";"90";"TopLayer"
"P2C";"XL-1615SURUWC";"SMD_LED_0606";"-25.5000";"9.0500";"90";"TopLayer"
"P3C";"XL-1615SURUWC";"SMD_LED_0606";"-25.5000";"-12.9500";"90";"TopLayer"
"P4C";"XL-1615SURUWC";"SMD_LED_0606";"-25.5000";"-34.9500";"90";"TopLayer"
"P1D";"XL-1615SURUWC";"SMD_LED_0606";"-11.5000";"31.0500";"90";"TopLayer"
"P2D";"XL-1615SURUWC";"SMD_LED_0606";"-11.5000";"9.0500";"90";"TopLayer"
"P3D";"XL-1615SURUWC";"SMD_LED_0606";"-11.5000";"-12.9500";"90";"TopLayer"
"P4D";"XL-1615SURUWC";"SMD_LED_0606";"-11.5000";"-34.9500";"90";"TopLayer"
"P1E";"XL-1615SURUWC";"SMD_LED_0606";"2.5000";"31.0500";"90";"TopLayer"
"P2E";"XL-1615SURUWC";"SMD_LED_0606";"2.5000";"9.0500";"90";"TopLayer"
"P3E";"XL-1615SURUWC";"SMD_LED_0606";"2.5000";"-12.9500";"90";"TopLayer"
"P4E";"XL-1615SURUWC";"SMD_LED_0606";"2.5000";"-34.9500";"90";"TopLayer"
"P1F";"XL-1615SURUWC";"SMD_LED_0606";"16.5000";"31.0500";"90";"TopLayer"
"P2F";"XL-1615SURUWC";"SMD_LED_0606";"16.5000";"9.0500";"90";"TopLayer"
"P3F";"XL-1615SURUWC";"SMD_LED_0606";"16.5000";"-12.9500";"90";"TopLayer"
"P4F";"XL-1615SURUWC";"SMD_LED_0606";"16.5000";"-34.9500";"90";"TopLayer"
"P1G";"XL-1615SURUWC";"SMD_LED_0606";"30.5000";"31.0500";"90";"TopLayer"
"P2G";"XL-1615SURUWC";"SMD_LED_0606";"30.5000";"9.0500";"90";"TopLayer"
"P3G";"XL-1615SURUWC";"SMD_LED_0606";"30.5000";"-12.9500";"90";"TopLayer"
"P4G";"XL-1615SURUWC";"SMD_LED_0606";"30.5000";"-34.9500";"90";"TopLayer"
"P1H";"XL-1615SURUWC";"SMD_LED_0606";"44.5000";"31.0500";"90";"TopLayer"
"P2H";"XL-1615SURUWC";"SMD_LED_0606";"44.5000";"9.0500";"90";"TopLayer"
"P3H";"XL-1615SURUWC";"SMD_LED_0606";"44.5000";"-12.9500";"90";"TopLayer"
"P4H";"XL-1615SURUWC";"SMD_LED_0606";"44.5000";"-34.9500";"90";"TopLayer"
"R1A";"390";"SMD_Widerstand_0603";"-51.7000";"31.1000";"270";"TopLayer"
"R2A";"820";"SMD_Widerstand_0603";"-53.2000";"33.2000";"180";"TopLayer"
"R3A";"390";"SMD_Widerstand_0603";"-51.7000";"9.1000";"270";"TopLayer"
"R4A";"820";"SMD_Widerstand_0603";"-53.2000";"11.2000";"180";"TopLayer"
"R5A";"390";"SMD_Widerstand_0603";"-51.7000";"-12.9000";"270";"TopLayer"
"R6A";"820";"SMD_Widerstand_0603";"-53.2000";"-10.8000";"180";"TopLayer"
"R7A";"390";"SMD_Widerstand_0603";"-51.7000";"-34.9000";"270";"TopLayer"
"R8A";"820";"SMD_Widerstand_0603";"-53.2000";"-32.8000";"180";"TopLayer"
"R1B";"390";"SMD_Widerstand_0603";"-37.7000";"31.1000";"270";"TopLayer"
"R2B";"820";"SMD_Widerstand_0603";"-39.2000";"33.2000";"180";"TopLayer"
"R3B";"390";"SMD_Widerstand_0603";"-37.7000";"9.1000";"270";"TopLayer"
"R4B";"820";"SMD_Widerstand_0603";"-39.2000";"11.2000";"180";"TopLayer"
"R5B";"390";"SMD_Widerstand_0603";"-37.7000";"-12.9000";"270";"TopLayer"
"R6B";"820";"SMD_Widerstand_0603";"-39.2000";"-10.8000";"180";"TopLayer"
"R7B";"390";"SMD_Widerstand_0603";"-37.7000";"-34.9000";"270";"TopLayer"
"R8B";"820";"SMD_Widerstand_0603";"-39.2000";"-32.8000";"180";"TopLayer"
"R1C";"390";"SMD_Widerstand_0603";"-23.7000";"31.1000";"270";"TopLayer"
"R2C";"820";"SMD_Widerstand_0603";"-25.2000";"33.2000";"180";"TopLayer"
"R3C";"390";"SMD_Widerstand_0603";"-23.7000";"9.1000";"270";"TopLayer"
"R4C";"820";"SMD_Widerstand_0603";"-25.2000";"11.2000";"180";"TopLayer"
"R5C";"390";"SMD_Widerstand_0603";"-23.7000";"-12.9000";"270";"TopLayer"
"R6C";"820";"SMD_Widerstand_0603";"-25.2000";"-10.8000";"180";"TopLayer"
"R7C";"390";"SMD_Widerstand_0603";"-23.7000";"-34.9000";"270";"TopLayer"
"R8C";"820";"SMD_Widerstand_0603";"-25.2000";"-32.8000";"180";"TopLayer"
"R1D";"390";"SMD_Widerstand_0603";"-9.7000";"31.1000";"270";"TopLayer"
"R2D";"820";"SMD_Widerstand_0603";"-11.2000";"33.2000";"180";"TopLayer"
"R3D";"390";"SMD_Widerstand_0603";"-9.7000";"9.1000";"270";"TopLayer"
"R4D";"820";"SMD_Widerstand_0603";"-11.2000";"11.2000";"180";"TopLayer"
"R5D";"390";"SMD_Widerstand_0603";"-9.7000";"-12.9000";"270";"TopLayer"
"R6D";"820";"SMD_Widerstand_0603";"-11.2000";"-10.8000";"180";"TopLayer"
"R7D";"390";"SMD_Widerstand_0603";"-9.7000";"-34.9000";"270";"TopLayer"
"R8D";"820";"SMD_Widerstand_0603";"-11.2000";"-32.8000";"180";"TopLayer"
"R1E";"390";"SMD_Widerstand_0603";"4.3000";"31.1000";"270";"TopLayer"
"R2E";"820";"SMD_Widerstand_0603";"2.8000";"33.2000";"180";"TopLayer"
"R3E";"390";"SMD_Widerstand_0603";"4.3000";"9.1000";"270";"TopLayer"
"R4E";"820";"SMD_Widerstand_0603";"2.8000";"11.2000";"180";"TopLayer"
"R5E";"390";"SMD_Widerstand_0603";"4.3000";"-12.9000";"270";"TopLayer"
"R6E";"820";"SMD_Widerstand_0603";"2.8000";"-10.8000";"180";"TopLayer"
"R7E";"390";"SMD_Widerstand_0603";"4.3000";"-34.9000";"270";"TopLayer"
"R8E";"820";"SMD_Widerstand_0603";"2.8000";"-32.8000";"180";"TopLayer"
"R1F";"390";"SMD_Widerstand_0603";"18.3000";"31.1000";"270";"TopLayer"
"R2F";"820";"SMD_Widerstand_0603";"16.8000";"33.2000";"180";"TopLayer"
"R3F";"390";"SMD_Widerstand_0603";"18.3000";"9.1000";"270";"TopLayer"
"R4F";"820";"SMD_Widerstand_0603";"16.8000";"11.2000";"180";"TopLayer"
"R5F";"390";"SMD_Widerstand_0603";"18.3000";"-12.9000";"270";"TopLayer"
"R6F";"820";"SMD_Widerstand_0603";"16.8000";"-10.8000";"180";"TopLayer"
"R7F";"390";"SMD_Widerstand_0603";"18.3000";"-34.9000";"270";"TopLayer"
"R8F";"820";"SMD_Widerstand_0603";"16.8000";"-32.8000";"180";"TopLayer"
"R1G";"390";"SMD_Widerstand_0603";"32.3000";"31.1000";"270";"TopLayer"
"R2G";"820";"SMD_Widerstand_0603";"30.8000";"33.2000";"180";"TopLayer"
"R3G";"390";"SMD_Widerstand_0603";"32.3000";"9.1000";"270";"TopLayer"
"R4G";"820";"SMD_Widerstand_0603";"30.8000";"11.2000";"180";"TopLayer"
"R5G";"390";"SMD_Widerstand_0603";"32.3000";"-12.9000";"270";"TopLayer"
"R6G";"820";"SMD_Widerstand_0603";"30.8000";"-10.8000";"180";"TopLayer"
"R7G";"390";"SMD_Widerstand_0603";"32.3000";"-34.9000";"270";"TopLayer"
"R8G";"820";"SMD_Widerstand_0603";"30.8000";"-32.8000";"180";"TopLayer"
"R1H";"390";"SMD_Widerstand_0603";"46.3000";"31.1000";"270";"TopLayer"
"R2H";"820";"SMD_Widerstand_0603";"44.8000";"33.2000";"180";"TopLayer"
"R3H";"390";"SMD_Widerstand_0603";"46.3000";"9.1000";"270";"TopLayer"
"R4H";"820";"SMD_Widerstand_0603";"44.8000";"11.2000";"180";"TopLayer"
"R5H";"390";"SMD_Widerstand_0603";"46.3000";"-12.9000";"270";"TopLayer"
"R6H";"820";"SMD_Widerstand_0603";"44.8000";"-10.8000";"180";"TopLayer"
"R7H";"390";"SMD_Widerstand_0603";"46.3000";"-34.9000";"270";"TopLayer"
